wmc,dit,noc,cbo,rfc,lcom,loc,bug
2,3,0,9,16,1,113,False
4,3,0,1,8,4,82,False
18,1,0,16,55,0,687,True
6,6,0,4,36,1,464,False
4,1,0,26,29,6,213,False
5,2,2,22,6,10,26,False
5,1,1,14,13,10,34,False
51,4,0,22,125,1041,1243,False
2,2,0,11,11,1,53,False
89,2,0,141,269,3550,2699,False
2,2,0,7,7,1,32,False
4,1,0,2,15,0,54,False
9,1,3,16,14,28,50,False
11,4,0,0,26,55,173,False
7,1,0,8,15,1,62,False
8,1,0,6,8,28,8,False
4,1,0,4,9,0,49,False
9,2,4,16,56,24,601,False
18,2,0,6,36,153,84,False
3,1,0,7,3,3,3,False
22,1,0,34,114,219,2003,False
5,1,0,7,5,10,5,False
4,1,0,3,12,0,37,False
4,2,0,4,6,2,26,False
8,1,0,16,17,22,160,False
1,1,0,12,2,0,16,False
5,1,1,3,6,10,12,False
5,2,0,4,25,2,301,False
43,1,4,52,116,805,962,False
2,2,0,1,4,1,14,False
3,1,0,4,4,3,23,False
4,1,0,3,22,6,105,False
17,1,0,5,27,10,709,False
6,1,0,3,20,0,120,False
75,1,2,58,156,2419,1888,False
5,7,0,11,57,0,438,False
59,1,0,73,163,1389,1844,False
7,3,0,16,73,1,828,False
4,3,0,10,43,4,405,False
13,1,0,2,13,78,13,False
14,1,0,9,63,0,721,False
17,5,0,28,105,100,590,False
4,1,0,7,54,4,318,False
25,1,1,9,60,62,496,False
19,1,0,17,56,157,401,False
22,1,3,24,47,231,322,False
33,1,4,47,67,444,529,False
16,1,0,167,55,58,485,False
4,1,0,3,5,6,15,False
13,2,0,5,35,6,281,False
3,1,0,13,4,3,16,False
7,7,1,7,41,21,220,False
2,2,0,10,7,1,79,False
1,5,0,10,10,0,23,False
2,1,0,3,3,0,12,False
2,5,0,4,24,0,148,False
5,2,0,12,35,6,221,False
2,1,0,5,2,1,2,False
8,6,0,6,31,20,121,False
5,2,0,11,10,2,128,False
21,5,0,20,99,130,596,False
8,1,0,15,43,14,378,False
10,1,0,28,37,45,218,False
12,2,0,5,72,0,525,False
13,2,0,1,20,30,115,False
22,1,2,21,52,201,411,False
21,1,0,30,67,0,411,False
5,2,0,7,22,4,155,False
2,1,0,2,4,1,55,False
4,1,0,5,8,2,239,False
3,1,0,28,3,3,3,False
8,2,0,11,55,12,388,False
2,1,0,6,2,1,2,False
10,1,0,10,44,23,421,False
4,2,0,15,22,6,119,False
3,1,0,5,3,3,3,False
17,1,0,3,82,106,2224,False
6,2,0,14,16,15,113,False
9,1,0,4,13,0,104,False
5,1,0,11,5,10,5,False
8,1,0,12,16,12,88,False
1,3,0,2,2,0,5,False
39,1,0,49,181,469,2302,False
3,1,0,13,38,3,191,False
5,1,0,10,37,0,203,False
4,2,0,10,8,4,37,False
41,1,0,25,120,820,1482,False
2,1,0,4,4,1,12,False
14,6,0,7,56,51,557,False
8,5,0,5,33,0,419,False
23,1,0,6,57,41,1257,False
15,5,0,27,107,67,564,False
6,1,0,6,48,0,290,False
16,6,0,10,72,74,557,False
1,1,0,3,1,0,1,False
351,1,0,51,443,41713,12535,False
3,2,0,12,20,3,294,False
3,7,0,2,6,3,16,False
4,2,0,4,17,6,86,False
7,1,0,0,48,21,333,False
1,2,0,18,2,0,5,False
17,5,23,25,39,102,507,False
18,1,0,13,94,39,707,False
3,1,0,3,8,0,24,False
3,2,0,6,16,1,97,False
5,2,0,4,17,0,109,False
8,6,0,9,26,16,105,False
3,1,0,10,29,3,157,False
7,1,0,8,31,19,159,False
44,1,0,49,156,632,1802,False
11,1,0,10,47,41,551,False
6,2,0,20,46,15,427,False
4,1,0,21,5,0,28,False
