wmc,dit,noc,cbo,rfc,lcom,loc,bug
4,3,0,8,12,0,182,False
23,6,0,8,74,217,521,True
3,2,0,14,10,3,71,False
47,1,0,101,173,1049,2031,True
1,1,0,32,1,0,1,False
4,1,0,6,16,0,218,True
2,2,0,8,8,1,50,False
21,5,0,36,139,74,785,True
8,6,0,6,31,20,121,False
6,1,11,31,13,9,45,False
14,6,0,14,87,51,497,True
3,7,0,5,27,3,110,True
4,2,0,2,6,0,83,False
22,1,0,29,95,137,1219,True
5,2,0,6,13,4,52,False
7,5,0,15,59,5,389,False
4,2,0,7,20,0,79,False
14,1,0,8,32,29,485,True
1,1,0,10,2,0,12,False
4,5,0,6,17,0,61,False
27,1,0,7,39,87,1342,True
1,1,0,8,1,0,1,False
1,2,0,4,2,0,5,False
6,1,0,4,7,0,118,False
19,6,0,12,60,125,336,False
8,1,0,15,32,0,356,False
3,2,0,4,8,0,151,False
5,6,0,7,34,2,202,False
3,2,0,9,7,1,30,False
2,2,0,10,7,1,79,False
2,2,0,1,5,1,14,False
3,1,0,29,3,3,4,False
11,1,3,7,29,33,141,True
9,1,0,12,45,8,294,True
7,2,0,4,21,0,300,False
6,1,0,3,11,9,135,False
6,2,0,16,14,3,92,False
5,2,0,5,22,0,206,False
4,2,0,10,21,2,176,False
8,2,0,9,21,0,167,False
4,1,0,2,7,0,62,False
12,2,0,8,32,0,176,False
15,1,0,12,50,105,913,False
8,1,2,11,11,26,28,False
5,2,0,15,25,10,162,False
64,5,0,51,212,1606,1917,True
12,6,0,8,49,40,342,True
10,1,0,8,28,3,230,True
11,2,0,7,28,25,161,False
16,2,0,14,111,24,1304,True
5,6,19,22,16,10,56,False
28,5,0,25,136,184,868,True
2,2,0,7,5,1,22,False
5,3,0,6,6,2,36,False
1,2,0,8,2,0,5,False
14,5,17,20,32,67,395,False
8,1,13,15,9,12,65,False
4,4,0,2,24,0,195,True
3,3,0,3,7,3,33,False
27,1,0,20,102,291,755,True
8,1,2,5,12,8,149,True
7,1,2,9,10,15,81,False
4,1,5,9,5,6,11,False
1,1,0,2,1,0,191,False
32,1,0,38,123,210,1566,True
15,6,0,13,97,65,512,False
3,2,0,11,10,3,79,False
9,6,0,10,48,18,210,False
7,1,0,21,19,9,141,False
17,1,0,4,36,100,679,False
4,6,0,5,39,0,507,False
6,2,0,4,22,3,283,False
5,3,0,4,18,8,176,False
2,2,0,2,3,1,8,False
4,8,0,13,30,6,119,False
11,1,0,2,16,35,52,False
5,6,0,5,22,4,353,False
4,2,0,4,8,4,55,False
5,6,0,7,36,4,247,False
4,8,0,14,30,6,132,False
25,1,0,48,72,200,375,True
6,1,0,2,40,13,375,False
4,3,0,8,13,0,71,False
2,2,0,11,9,1,65,False
5,1,0,1,24,10,206,False
19,1,0,19,71,91,1313,False
5,2,0,5,12,0,127,False
5,7,0,6,40,6,214,False
5,3,0,4,18,8,176,False
13,1,0,7,13,78,13,False
6,6,0,7,37,3,214,False
11,1,0,9,20,53,477,False
5,3,0,3,56,2,289,True
12,6,0,12,59,38,307,True
6,7,0,8,47,9,299,False
6,5,0,12,45,5,536,False
5,7,5,8,27,8,121,False
7,1,0,5,12,13,65,False
19,7,0,5,80,133,646,False
3,2,0,11,14,1,134,False
6,8,0,27,35,13,233,False
2,1,0,5,2,1,2,False
11,4,0,4,23,23,492,False
3,1,0,5,4,3,23,False
86,2,0,8,96,3649,696,False
2,2,0,4,4,1,10,False
7,2,0,9,29,0,879,True
11,2,0,12,108,11,1839,True
4,8,0,13,39,4,237,False
3,6,0,8,14,3,46,False
2,2,0,10,6,1,30,False
5,1,0,12,27,0,158,False
8,5,0,5,33,0,419,False
3,7,0,5,10,1,40,False
7,1,0,7,52,1,343,False
13,6,0,11,68,42,512,True
2,3,0,7,4,1,9,False
11,2,0,6,28,31,223,False
4,8,0,8,28,6,129,False
10,7,0,19,90,15,606,True
2,2,0,7,6,1,28,False
56,1,1,47,140,1358,1757,True
28,6,0,21,91,206,615,False
6,1,0,4,8,0,66,False
5,5,0,5,28,0,119,True
1,1,0,1,2,0,6,False
20,2,0,11,91,190,690,True
5,6,0,4,35,0,406,False
14,7,0,14,96,51,774,False
19,1,36,51,30,147,240,False
1,2,0,3,2,0,5,False
2,2,0,10,9,1,40,False
