wmc,dit,noc,cbo,rfc,lcom,loc,bug
6,8,0,10,22,15,128,False
12,6,0,7,39,28,573,True
14,7,0,28,108,69,732,True
2,2,0,2,6,1,85,False
5,6,0,5,28,0,337,True
2,2,0,1,4,1,16,False
2,8,0,11,33,1,206,False
8,5,0,3,33,28,143,True
7,1,0,36,7,21,7,False
8,6,0,5,31,20,119,False
7,1,0,6,20,0,347,True
5,7,0,4,50,2,533,False
5,2,0,5,29,2,197,True
150,1,0,117,337,10339,4593,True
14,2,0,14,95,21,973,True
11,3,0,8,54,0,541,True
3,6,0,5,24,1,371,True
6,1,0,1,6,15,6,False
248,4,0,70,482,16336,9106,True
2,2,0,9,6,1,54,False
4,1,1,4,11,6,36,False
11,6,0,12,63,27,559,False
2,2,0,8,8,1,50,False
3,1,0,9,19,3,54,True
6,1,3,31,14,7,49,True
14,6,0,11,77,51,516,False
3,7,0,5,27,3,110,False
39,7,0,28,155,517,1788,True
3,2,0,5,11,0,87,False
9,1,0,4,18,0,368,False
5,2,0,7,24,0,99,False
21,1,0,14,53,0,1726,True
1,1,0,10,2,0,12,False
4,5,0,6,16,0,54,False
28,1,0,7,39,46,1223,True
9,6,0,4,27,10,181,False
57,6,0,132,209,1298,1532,True
32,1,4,31,70,400,504,False
8,3,0,1,14,16,49,False
5,1,0,2,6,10,12,False
3,2,0,4,5,3,20,False
4,2,0,4,9,0,80,False
11,7,0,10,62,29,392,False
118,1,0,7,180,6075,5223,False
26,1,0,41,73,217,370,True
14,7,0,15,81,49,864,True
3,1,0,29,3,3,4,False
1,4,0,17,2,0,5,False
13,1,0,9,38,48,300,True
2,2,0,7,6,1,36,False
6,2,0,4,13,0,62,False
19,5,0,33,76,119,618,True
4,2,0,4,16,4,108,False
13,1,0,19,33,40,268,True
5,2,0,7,20,4,155,False
6,6,0,12,35,3,248,False
12,2,0,8,32,0,176,False
12,1,0,10,42,66,957,True
3,6,0,4,18,1,302,False
5,1,0,3,12,0,269,False
13,1,0,69,53,38,437,False
15,3,3,53,23,43,154,True
10,1,0,8,28,3,226,False
11,2,0,8,29,25,185,False
11,6,0,7,50,25,333,False
2,2,0,7,5,1,22,False
5,2,0,3,17,10,88,False
5,3,0,6,6,2,36,False
6,2,0,17,38,15,283,False
18,1,0,12,95,43,747,True
2,2,0,4,3,1,10,False
17,2,0,11,72,98,1115,True
3,3,0,3,7,3,33,False
8,6,0,5,25,24,74,True
7,1,2,5,11,9,140,False
10,1,0,10,47,21,1529,True
8,2,0,7,20,0,179,False
11,1,2,17,20,33,90,True
2,1,0,6,7,0,52,True
54,4,0,22,144,1059,1085,True
3,2,0,11,10,3,79,False
9,6,0,8,45,18,205,False
11,1,0,27,32,23,240,False
17,1,0,2,37,100,679,True
3,6,0,4,24,1,230,True
8,6,0,7,31,20,119,False
4,2,0,10,24,6,171,False
2,2,0,2,3,1,8,False
2,8,0,13,28,1,120,False
11,1,0,2,16,35,52,False
2,2,0,2,6,1,65,False
7,2,0,7,19,5,146,False
18,1,0,14,71,27,1598,True
4,1,0,14,21,0,298,False
9,1,0,2,17,2,236,False
4,3,0,6,13,0,71,False
2,2,0,11,9,1,65,False
5,1,0,1,24,10,206,False
19,1,0,19,72,91,1245,False
1,8,0,4,15,0,79,False
14,1,0,19,27,0,386,False
6,1,3,4,12,15,49,False
12,7,0,12,92,28,1013,False
13,1,0,7,13,78,13,False
1,1,0,6,2,0,21,True
5,3,0,2,41,4,213,False
12,6,0,12,58,38,306,False
6,7,0,8,46,9,299,False
6,5,0,11,33,7,397,True
1,7,6,9,22,0,95,False
7,1,0,5,12,13,64,False
4,1,0,3,13,4,62,True
17,5,0,15,90,108,539,True
1,4,0,3,2,0,5,False
2,1,0,5,2,1,2,False
11,4,0,4,24,23,504,False
3,1,0,5,4,3,23,False
86,2,0,8,95,3655,686,False
2,3,0,5,4,1,10,False
7,2,0,7,28,0,559,False
21,1,0,17,78,102,528,True
3,2,0,4,8,0,77,False
2,1,0,3,2,1,2,False
4,1,0,2,5,0,59,False
11,4,0,18,26,33,141,False
5,1,0,3,12,0,251,False
8,2,0,18,38,28,269,False
2,2,0,12,19,1,89,False
3,2,0,6,9,0,34,False
2,2,0,8,5,1,19,False
5,1,0,10,47,0,563,True
5,1,0,6,17,0,96,False
2,2,0,10,9,1,36,False
3,2,0,11,18,3,273,False
3,7,0,6,33,3,180,False
13,1,0,13,26,0,112,True
3,1,0,6,20,3,103,True
7,7,0,6,40,9,214,False
114,1,0,184,374,5427,5109,True
2,2,0,12,10,1,138,False
7,2,0,16,17,19,52,False
6,2,0,4,22,13,150,True
4,1,0,11,28,0,201,False
9,2,0,18,44,14,352,False
6,1,0,5,18,0,176,False
7,2,0,6,18,21,63,False
18,2,1,15,53,71,466,False
4,1,0,6,22,4,118,False
407,1,0,47,494,0,23683,False
11,1,0,3,16,55,456,False
4,3,0,1,8,4,83,False
13,1,0,11,61,44,488,True
2,2,0,7,7,1,30,False
7,6,0,6,38,0,196,False
5,7,0,8,49,2,362,False
2,2,0,10,9,1,107,False
11,2,0,6,31,11,232,False
6,2,0,5,25,3,215,False
2,1,0,2,2,1,2,False
5,1,0,3,23,0,239,False
2,2,0,4,3,1,6,False
37,1,0,69,102,660,1578,True
3,2,0,4,9,1,106,False
43,4,0,15,111,759,981,True
4,2,0,12,21,6,279,False
10,1,2,15,26,15,163,False
2,2,0,12,22,1,186,False
2,2,0,10,7,1,80,False
18,6,0,22,131,113,844,False
7,2,0,5,15,9,64,False
25,6,0,9,75,258,530,True
3,2,0,14,10,3,63,False
41,1,0,86,152,802,1670,True
1,1,0,36,1,0,1,False
4,1,0,6,16,0,222,False
12,7,0,7,58,52,284,False
19,5,0,30,126,53,781,True
6,1,0,6,9,15,34,False
17,5,0,16,73,76,412,True
15,7,0,7,55,77,359,False
4,2,0,2,6,6,83,False
22,1,0,29,94,139,853,True
5,3,0,6,13,4,50,False
3,2,0,11,13,3,102,False
13,1,0,8,31,14,485,True
12,1,4,28,18,54,49,True
6,2,0,8,54,7,336,True
1,1,0,13,1,0,617,False
3,2,0,4,9,1,71,False
1,3,0,4,2,0,5,False
4,1,0,3,5,0,94,False
19,6,0,14,64,125,342,True
8,1,0,15,32,0,351,False
3,2,0,4,8,0,151,False
5,6,0,7,32,2,202,False
3,2,0,9,7,1,30,False
5,6,0,6,34,4,239,True
2,8,0,14,28,1,133,False
6,1,0,2,41,13,372,False
2,2,0,1,5,1,14,False
3,6,0,3,17,1,307,True
9,1,3,10,25,22,121,False
10,1,0,12,46,17,296,False
7,2,0,4,21,0,300,False
6,1,0,3,11,9,135,False
6,2,0,16,14,3,93,False
5,2,0,5,22,0,206,False
4,2,0,10,22,2,173,False
8,2,0,9,21,0,163,False
4,1,0,2,7,0,62,False
6,1,0,4,6,15,6,False
1,3,0,4,2,0,5,True
9,1,2,10,12,30,31,False
5,2,0,15,24,10,159,False
65,5,0,52,205,1652,1871,True
5,6,0,6,42,6,206,False
12,2,0,5,36,24,253,False
54,1,0,59,139,1019,1472,False
25,5,0,18,123,122,797,True
3,6,0,4,21,1,159,True
14,2,0,7,35,37,304,True
1,3,0,9,2,0,5,False
10,5,20,23,27,29,285,False
8,1,13,15,9,12,65,False
4,4,0,2,24,0,195,False
11,2,0,13,104,11,1460,False
28,1,0,25,104,312,721,True
4,1,0,4,4,6,4,False
3,6,0,3,16,3,50,False
3,6,0,6,18,3,67,False
4,1,5,9,5,6,11,False
1,1,0,2,1,0,186,False
33,1,0,36,121,228,1520,True
50,1,0,5,66,3,6336,False
4,1,0,2,7,0,59,False
4,1,0,11,5,0,28,True
7,1,0,7,10,0,64,False
47,2,1,38,109,1019,2553,False
1,3,0,3,2,0,5,False
6,2,0,4,22,3,288,False
5,3,0,4,18,8,173,False
12,2,0,7,36,36,492,False
1,3,0,5,2,0,5,False
27,1,0,3,40,25,1278,False
4,2,0,4,8,4,55,False
54,1,1,47,138,1259,1694,False
28,6,0,19,89,206,614,True
6,1,0,4,8,0,66,False
9,1,0,5,20,0,111,False
12,1,0,3,25,0,212,False
26,1,0,10,38,311,177,False
2,1,0,2,3,1,16,False
